T,P,NaCl,xH2S,yH2O,r,H2O,H2S
298.15,30,3,0.00801,0.00124,1106.7,-0.4195,-0.1418
298.15,40,3,0.0102,0.00103,1107.9,-0.5925,-0.1928
298.15,50,3,0.01211,0.00093,1109,-0.8023,-0.2464
298.15,60,3,0.01369,0.0009,1110,-1.1266,-0.3016
298.15,70,3,0.01431,0.0025,1110.8,-3.2687,-0.3741
298.15,80,3,0.01447,0.00263,1111.4,-3.4272,-0.4847
298.15,90,3,0.01462,0.00273,1112,-3.5658,-0.5802
298.15,100,3,0.01475,0.00282,1112.7,-3.6887,-0.6637
298.15,120,3,0.015,0.00296,1113.9,-3.8991,-0.8038
298.15,140,3,0.01523,0.00307,1115.1,-4.0743,-0.9171
298.15,160,3,0.01544,0.00316,1116.3,-4.2237,-1.011
298.15,180,3,0.01564,0.00323,1117.5,-4.3535,-1.09
298.15,200,3,0.01582,0.0033,1118.7,-4.4679,-1.1575
298.15,250,3,0.01624,0.00343,1121.7,-4.7035,-1.2887
298.15,300,3,0.01662,0.00353,1124.6,-4.8883,-1.3825
298.15,350,3,0.01695,0.0036,1127.5,-5.038,-1.4509
298.15,400,3,0.01726,0.00366,1130.3,-5.162,-1.5008
298.15,450,3,0.01754,0.00371,1133.1,-5.2664,-1.5368
298.15,500,3,0.01779,0.00374,1135.8,-5.3554,-1.562
298.15,550,3,0.01803,0.00377,1138.5,-5.432,-1.5786
298.15,600,3,0.01825,0.00379,1141.2,-5.4984,-1.5882
298.15,1,4,0.00023,0.02726,1132.1,-0.0125,-0.0045
298.15,5,4,0.00127,0.00563,1132.5,-0.0632,-0.0227
298.15,10,4,0.00251,0.00294,1133.1,-0.1285,-0.0457
298.15,20,4,0.00483,0.0016,1134.1,-0.2671,-0.0928
298.15,30,4,0.00694,0.00118,1135.2,-0.4195,-0.1418
298.15,40,4,0.00883,0.00098,1136.2,-0.5925,-0.1928
298.15,50,4,0.01045,0.00089,1137.1,-0.8023,-0.2464
298.15,60,4,0.01179,0.00086,1138,-1.1266,-0.3016
298.15,70,4,0.01232,0.00237,1138.7,-3.2687,-0.3741
298.15,80,4,0.01246,0.0025,1139.3,-3.4272,-0.4847
298.15,90,4,0.01258,0.0026,1139.9,-3.5658,-0.5802
298.15,100,4,0.01269,0.00268,1140.6,-3.6887,-0.6637
298.15,120,4,0.0129,0.00281,1141.8,-3.8991,-0.8038
298.15,140,4,0.01309,0.00291,1143,-4.0743,-0.9171
298.15,160,4,0.01327,0.00299,1144.2,-4.2237,-1.011
298.15,180,4,0.01343,0.00307,1145.4,-4.3535,-1.09
298.15,200,4,0.01358,0.00313,1146.6,-4.4679,-1.1575
298.15,250,4,0.01394,0.00325,1149.6,-4.7035,-1.2887
298.15,300,4,0.01425,0.00334,1152.6,-4.8883,-1.3825
298.15,350,4,0.01452,0.00341,1155.4,-5.038,-1.4509
298.15,400,4,0.01477,0.00347,1158.3,-5.162,-1.5008
298.15,450,4,0.015,0.00351,1161.1,-5.2664,-1.5368
298.15,500,4,0.01521,0.00354,1163.9,-5.3554,-1.562
298.15,550,4,0.01541,0.00357,1166.7,-5.432,-1.5786
