T,P,NaCl,xH2S,yH2O,r,H2O,H2S
298.15,30,3,0.0215,0.00127,1099.27,-0.4863,-0.2403
298.15,40,3,0.02169,0.01019,1101.56,-3.4688,-0.775
298.15,50,3,0.02179,0.01027,1102.14,-3.6902,-0.9806
298.15,60,3,0.02189,0.01034,1102.71,-3.8706,-1.1454
298.15,70,3,0.02199,0.01041,1103.29,-4.0226,-1.2822
298.15,80,3,0.02208,0.01047,1103.86,-4.1538,-1.3984
298.15,90,3,0.02218,0.01054,1104.43,-4.2691,-1.499
298.15,100,3,0.02227,0.0106,1105,-4.3718,-1.5872
298.15,120,3,0.02246,0.01071,1106.13,-4.5483,-1.7355
298.15,140,3,0.02264,0.01082,1107.26,-4.6961,-1.8559
298.15,160,3,0.02281,0.01092,1108.39,-4.8228,-1.956
298.15,180,3,0.02298,0.01102,1109.51,-4.9333,-2.0405
298.15,200,3,0.02315,0.01111,1110.62,-5.031,-2.1129
298.15,250,3,0.02355,0.01131,1113.39,-5.2335,-2.2545
298.15,300,3,0.02394,0.01149,1116.13,-5.3934,-2.3566
298.15,350,3,0.0243,0.01165,1118.84,-5.5238,-2.4317
298.15,400,3,0.02466,0.01179,1121.51,-5.6323,-2.4871
298.15,450,3,0.02499,0.01192,1124.16,-5.7241,-2.5278
298.15,500,3,0.02532,0.01204,1126.78,-5.8028,-2.5568
298.15,550,3,0.02563,0.01214,1129.38,-5.8706,-2.5766
298.15,600,3,0.02593,0.01224,1131.94,-5.9296,-2.5889
298.15,1,4,0.00094,0.02726,1131.84,-0.0133,-0.0072
298.15,5,4,0.00491,0.00564,1131.25,-0.0678,-0.0364
298.15,10,4,0.00981,0.00294,1130.53,-0.139,-0.074
298.15,20,4,0.01931,0.00162,1129.12,-0.2956,-0.1532
298.15,30,4,0.0194,0.00121,1127.83,-0.4863,-0.2403
298.15,40,4,0.01957,0.00961,1130.28,-3.4688,-0.775
298.15,50,4,0.01967,0.00968,1130.87,-3.6902,-0.9806
298.15,60,4,0.01976,0.00975,1131.45,-3.8706,-1.1454
298.15,70,4,0.01984,0.00981,1132.04,-4.0226,-1.2822
298.15,80,4,0.01993,0.00987,1132.62,-4.1538,-1.3984
298.15,90,4,0.02002,0.00993,1133.2,-4.2691,-1.499
298.15,100,4,0.0201,0.00999,1133.78,-4.3718,-1.5872
298.15,120,4,0.02027,0.01009,1134.94,-4.5483,-1.7355
298.15,140,4,0.02043,0.0102,1136.1,-4.6961,-1.8559
298.15,160,4,0.02059,0.01029,1137.24,-4.8228,-1.956
298.15,180,4,0.02074,0.01038,1138.39,-4.9333,-2.0405
298.15,200,4,0.02089,0.01046,1139.53,-5.031,-2.1129
298.15,250,4,0.02126,0.01065,1142.35,-5.2335,-2.2545
298.15,300,4,0.0216,0.01082,1145.15,-5.3934,-2.3566
298.15,350,4,0.02193,0.01096,1147.92,-5.5238,-2.4317
298.15,400,4,0.02225,0.01109,1150.65,-5.6323,-2.4871
298.15,450,4,0.02255,0.01121,1153.36,-5.7241,-2.5278
298.15,500,4,0.02284,0.01132,1156.04,-5.8028,-2.5568
298.15,550,4,0.02313,0.01142,1158.7,-5.8706,-2.5766
298.15,600,4,0.0234,0.0115,1161.32,-5.9296,-2.5889
298.15,1,5,0.00086,0.02582,1159.42,-0.0133,-0.0072
298.15,5,5,0.00455,0.00534,1158.75,-0.0678,-0.0364
298.15,10,5,0.00906,0.00279,1157.94,-0.139,-0.074
298.15,20,5,0.01775,0.00154,1156.39,-0.2956,-0.1532
298.15,30,5,0.01785,0.00115,1155.01,-0.4863,-0.2403
298.15,40,5,0.018,0.00901,1157.57,-3.4688,-0.775
298.15,50,5,0.01808,0.00907,1158.17,-3.6902,-0.9806
298.15,60,5,0.01816,0.00913,1158.77,-3.8706,-1.1454
298.15,70,5,0.01824,0.00919,1159.36,-4.0226,-1.2822
298.15,80,5,0.01832,0.00924,1159.96,-4.1538,-1.3984
298.15,90,5,0.0184,0.0093,1160.55,-4.2691,-1.499
298.15,100,5,0.01848,0.00935,1161.14,-4.3718,-1.5872
298.15,120,5,0.01863,0.00945,1162.32,-4.5483,-1.7355
298.15,140,5,0.01878,0.00954,1163.5,-4.6961,-1.8559
298.15,160,5,0.01893,0.00963,1164.67,-4.8228,-1.956
298.15,180,5,0.01907,0.00971,1165.84,-4.9333,-2.0405
298.15,200,5,0.01921,0.00978,1167,-5.031,-2.1129
298.15,250,5,0.01954,0.00996,1169.88,-5.2335,-2.2545
298.15,300,5,0.01986,0.01011,1172.74,-5.3934,-2.3566
298.15,350,5,0.02016,0.01024,1175.56,-5.5238,-2.4317
298.15,400,5,0.02045,0.01036,1178.36,-5.6323,-2.4871
298.15,450,5,0.02073,0.01047,1181.12,-5.7241,-2.5278
298.15,500,5,0.021,0.01057,1183.86,-5.8028,-2.5568
298.15,550,5,0.02126,0.01066,1186.57,-5.8706,-2.5766
298.15,600,5,0.02151,0.01074,1189.26,-5.9296,-2.5889
298.15,1,6,0.00078,0.0243,1185.64,-0.0133,-0.0072
298.15,5,6,0.00428,0.00503,1184.9,-0.0678,-0.0364
298.15,10,6,0.0085,0.00263,1184.02,-0.139,-0.074
298.15,20,6,0.01659,0.00145,1182.35,-0.2956,-0.1532
298.15,30,6,0.0167,0.00109,1180.89,-0.4863,-0.2403
298.15,40,6,0.01683,0.00838,1183.55,-3.4688,-0.775
298.15,50,6,0.0169,0.00844,1184.16,-3.6902,-0.9806
298.15,60,6,0.01698,0.00849,1184.77,-3.8706,-1.1454
298.15,70,6,0.01706,0.00855,1185.37,-4.0226,-1.2822
298.15,80,6,0.01713,0.0086,1185.98,-4.1538,-1.3984
298.15,90,6,0.01721,0.00865,1186.58,-4.2691,-1.499
298.15,100,6,0.01728,0.0087,1187.19,-4.3718,-1.5872
298.15,120,6,0.01742,0.00879,1188.39,-4.5483,-1.7355
298.15,140,6,0.01756,0.00887,1189.59,-4.6961,-1.8559
298.15,160,6,0.0177,0.00895,1190.78,-4.8228,-1.956
298.15,180,6,0.01783,0.00902,1191.97,-4.9333,-2.0405
298.15,200,6,0.01796,0.00909,1193.15,-5.031,-2.1129
298.15,250,6,0.01827,0.00925,1196.09,-5.2335,-2.2545
298.15,300,6,0.01857,0.00939,1199,-5.3934,-2.3566
